nom_entreprise,siren,siret,date_creation,codeAPE,domaine_activite,activite,forme_juridique,tva_intra,capitalsocial,effectif,nic,numero_rcs,objet_social,filiale,diffusable,statut,addresse1,addresse2,ville,codePostal,pays,phone,fax,siteWeb,emailPrincipal,date_bilan,chiffre_affaires,annee_chiffre_affaires,dateCreditSafe,limit_csafe,score_csafe,score_intcsafe,FbAccount,LinkedIn,source
HAVET DIGITAL,844634667,84463466700019,2018-11-28,46.19B,"Commerce de gros, à l'exception des automobiles et des motocycles",None,"SASU, société par actions simplifiée unipersonnelle",None,16000,Au moins 1 salarié,00019,None,None,None,TRUE,None,9 RUE DES BOULEAUX,ARTEPARC BAT 4,LESQUIN,59810,France,None,None,None,None,None,,None,None,None,None,None,None,None,None
GOOGLE FRANCE,443061841,44306184100047,2002-05-16,62.02A,"Programmation, conseil et autres activités informatiques",None,"EURL, entreprise unipersonnelle à responsabilité limitée",None,1000000,Entre 1 000 et 1 999 salariés,00047,None,None,None,TRUE,None,8 RUE DE LONDRES,,PARIS 9,75009,France,None,None,None,None,None,592480368,None,None,None,None,None,None,None,None
